"","Genus","genus_size","mass_g","gestation_mo","newborn_g","weaning_mo","wean_g","afr_mo","life_mo","litter_size","litters_per_year"
"409","Onychomys",2,29.5,1.025,2.485,0.8,11.275,3.08,57.5,3.605,2.55
"410","Orcaella",1,190000,14,12300,15.5,45000,NA,360,1,NA
"411","Orcinus",1,4300000,14.89,159333.33,15.5,NA,138.22,1080,1,0.21
"412","Oreamnos",1,82350,5.78,3176.67,2.67,NA,29.99,230,1.32,1
"413","Oreotragus",1,13000,6.79,1065,4.5,NA,12,214,1,NA
"414","Orthogeomys",2,437.5,NA,NA,NA,NA,2.77,NA,2.25,2
"415","Orycteropus",1,60000,7.08,1734,3.37,6250,26,288,1.03,1
"416","Oryctolagus",1,1558.25,1.02,39.61,0.85,214,5.13,120,5.54,4.33
"417","Oryx",3,164616.666666667,8.41,11165.835,4.5,NA,24.1433333333333,240,1,1.165
"418","Oryzomys",3,39.44,0.84,3.635,0.75,22.25,1.615,NA,3.96666666666667,5.715
"419","Otaria",1,140000,12,12763.33,12,NA,44.28,298,1,1
"420","Otocolobus",1,3500,2.37,89,NA,NA,12,NA,4.14,NA
"421","Otocyon",1,4150,2.26,120.88,2.06,NA,12,165,3.74,2
"422","Otolemur",2,937.33,4.405,50.105,4.53,500,20.82,216,1.285,1.18
"423","Otomys",5,139.6,1.285,14.6,0.51,28.75,2.725,22,1.886,4.25
"424","Ototylomys",1,101,1.81,10.2,1.08,NA,0.86,NA,2.3,NA
"425","Ourebia",1,17500,6.95,2235,4.5,NA,12.62,190,1,1.53
"426","Ovibos",1,258000,8.48,11077.4,6.21,NA,37.33,288,1.01,0.75
"427","Ovis",6,77722.2233333333,5.648,3104.6875,4.9225,23083.335,20.708,240,1.215,0.9375
"428","Oxymycterus",1,85.5,NA,NA,0.47,NA,3.54,NA,3.02,NA
"429","Ozotoceros",1,35000,7.25,2150,5.5,NA,12,253,1,1
"430","Pachyuromys",1,32.5,0.71,NA,0.97,NA,NA,53,4.06,NA
"431","Paguma",1,4300,NA,NA,NA,NA,NA,240,2.39,2
"432","Pan",2,35175.755,7.555,1540.56,28.705,8500,119.935,726,1.05,0.21
"433","Panthera",4,95668.75,3.435,955.355,4.9275,8752.375,36.69,303.75,2.5775,0.5975
"434","Pantholops",1,27500,7,NA,NA,NA,NA,NA,1,NA
"435","Papio",1,14028.57,5.94,836.97,8.59,3950,55.17,540,1,0.8
"436","Pappogeomys",1,266,NA,6.07,NA,68.8,10.2,NA,2,NA
"437","Paracynictis",1,1800,NA,NA,NA,NA,NA,NA,2.5,NA
"438","Paradoxurus",2,2740,1.5,87.08,NA,NA,11.22,300,2.895,2
"439","Parahyaena",1,60200,3.08,727.28,7.67,27400,36,348,2.28,0.4
"440","Parascalops",1,50.18,1.21,10.1,0.98,34.77,10.5,60,4.38,1
"441","Paraxerus",5,215,1.965,12.6666666666667,1.33,NA,5.145,NA,1.762,1.5
"442","Pardofelis",1,3500,NA,85,NA,NA,NA,NA,2,NA
"443","Parotomys",1,120,NA,NA,NA,NA,4.07,NA,NA,NA
"444","Pecari",1,19200,4.66,657.18,1.7,5220.67,10.64,296,1.82,2
"445","Pedetes",1,3500,2.53,264.5,1.64,1300,34,228,1,3.6
"446","Pelea",1,25000,8.7,NA,NA,NA,NA,148,1,NA
"447","Pelomys",2,84,NA,NA,NA,NA,NA,NA,2.585,NA
"448","Peponocephala",1,206000,12,NA,NA,NA,141,564,NA,NA
"449","Perodicticus",1,1083.5,6.44,40.51,4.34,NA,18.74,312,1.03,1
"450","Perognathus",7,10.59,0.85,1.14,0.79,4.75,3.66333333333333,67,4.56428571428571,1.53714285714286
"451","Peromyscus",24,33.505652173913,0.937777777777778,2.72882352941176,0.823333333333333,12.118,2.15909090909091,100,3.24318181818182,3.66777777777778
"452","Petaurista",5,1461.11,1.5,30.5,2.625,NA,NA,192,1.25,NA
"453","Petinomys",4,225.3125,1.77,NA,NA,NA,NA,NA,1.625,NA
"454","Petrodromus",1,220,NA,31,NA,NA,NA,NA,1.17,NA
"455","Petromus",1,200,NA,NA,NA,NA,NA,NA,1.88,1
"456","Petromyscus",1,21,NA,2.1,1.05,NA,NA,NA,2.56,1
"457","Phacochoerus",1,71000,5.53,672.78,3.49,NA,18.55,225,3.53,1.11
"458","Phaner",1,400,NA,NA,NA,NA,NA,144,1,NA
"459","Phenacomys",2,30,0.73,2.29,0.655,12.64,1.23,48,4.74,2.3
"460","Phoca",7,92334.7628571429,9.09714285714286,7259.95,1.12857142857143,31312.13,51.5071428571429,476,1.00142857142857,0.96
"461","Phocarctos",1,NA,12,7000,8.67,NA,NA,276,1,1
"462","Phocoena",2,49091.665,9.66,6775,8.5,NA,34.71,156,1,NA
"463","Phocoenoides",1,101666.67,9.98,NA,11.43,NA,65.62,264,1,0.71
"464","Phodopus",3,23.4,0.675,1.61,0.64,16.45,4.48333333333333,38,5.5,3.5
"465","Phyllotis",1,50.83,1.12,NA,NA,NA,NA,NA,NA,NA
"466","Physeter",1,15400000,15.8,942666.67,18.4,NA,103.36,924,1,0.17
"467","Pithecheir",1,104,NA,NA,NA,NA,NA,NA,2,NA
"468","Pithecia",2,1651.935,5.32,120.67,4,NA,25.48,294,1,NA
"469","Plagiodontia",1,1267,4.5,105.85,NA,NA,NA,119,1.22,NA
"470","Platanista",2,21000,10.125,7000,12,NA,80.95,240,1,NA
"471","Podomys",1,31.25,0.77,2.4,0.84,11.5,NA,89,2.74,NA
"472","Poecilogale",1,257.5,1.05,4,2.14,50,14.43,NA,2.2,1.25
"473","Poelagus",1,2500,1.25,NA,NA,NA,NA,NA,1.5,NA
"474","Pogonomelomys",1,60.9,NA,NA,NA,NA,NA,NA,1,NA
"475","Pogonomys",3,59.7333333333333,NA,NA,NA,NA,NA,29,1.89,NA
"476","Pongo",1,37115.6,8.67,1671.93,36.79,11000,110.12,672,1.21,0.22
"477","Pontoporia",1,40333.33,10.92,7900,10.5,NA,28.03,192,1,0.5
"478","Potamochoerus",1,71000,3.78,762,3,NA,28.24,240,4.33,NA
"479","Potamogale",1,761.7,NA,NA,NA,NA,NA,NA,1.63,2
"480","Potos",1,3000,3.84,165.66,3.35,NA,27.65,384,1,1
"481","Praomys",4,31.2425,1.00666666666667,2.7,0.92,15.25,2.7,62,4.0075,NA
"482","Presbytis",4,6375,NA,NA,NA,NA,NA,NA,1,NA
"483","Priodontes",1,50000,4,113,1.25,NA,10.5,156,1.5,NA
"484","Prionailurus",3,5450,2.23,131.93,2.195,620,18.52,186,2.29666666666667,NA
"485","Prionodon",2,2599,NA,40,NA,NA,NA,128,2,NA
"486","Procapra",1,24000,6.43,2900,NA,NA,17.5,84,1.33,NA
"487","Procavia",1,3600,7.44,232.18,2.81,500,22.18,132,2.38,NA
"488","Procolobus",2,4881.75,5.63,NA,21.88,NA,48.96,NA,1,NA
"489","Procyon",2,5335,2.13,76.14,2.95,1200,11.34,247,3.07,1
"490","Proechimys",3,402.166666666667,2.06666666666667,23.11,0.79,NA,4.74,63,2.63333333333333,4.22
"491","Profelis",1,10650,NA,248.33,NA,NA,NA,NA,2,NA
"492","Pronolagus",3,2038.33333333333,NA,NA,NA,NA,NA,NA,1.53333333333333,NA
"493","Propithecus",3,4487.37666666667,5.315,103.546666666667,6.74666666666667,NA,48.2266666666667,280,1.17,0.74
"494","Proteles",1,10000,2.9,NA,3.52,NA,NA,227,2.77,NA
"495","Psammomys",1,177.33,0.88,6.25,0.89,40,5.49,NA,3.53,NA
"496","Pseudalopex",3,7226.66666666667,1.93,NA,2,NA,11,164,3.55666666666667,1
"497","Pseudois",1,46666.67,5.16,NA,6,NA,18.61,180,1.5,NA
"498","Pseudomys",17,47.7705882352941,1.04714285714286,3.9,0.982307692307692,15.8333333333333,4.68,57.5,3.19529411764706,1.91666666666667
"499","Pseudorca",1,1360000,14.92,NA,16.5,NA,114.73,750,NA,0.14
"500","Pteromys",1,130,1,NA,1.5,NA,NA,NA,2.6,1.5
"501","Pteronura",1,24000,2.26,202.83,3.67,NA,24,174,1.94,1
"502","Ptilocercus",1,42.5,NA,10,NA,NA,NA,32,2,NA
"503","Pudu",2,9000,6.76,547.5,2,NA,5.73,252,1.015,NA
"504","Puma",1,48000,3.07,388.22,4.2,3500,26.91,240,2.85,0.47
"505","Pygathrix",2,9135,6.25,445,NA,NA,NA,NA,1,NA
"506","Pygeretmus",2,52.33,0.92,NA,NA,NA,5.18,NA,4.5,2
"507","Rangifer",1,113200,7.24,5773.67,2.84,26900,23.93,242,1.2,0.91
"508","Raphicerus",1,11333.33,6.53,936,3,NA,7.5,NA,1,NA
"509","Rattus",14,149.417857142857,0.759,4.20714285714286,0.834285714285714,34.494,2.65090909090909,39.5,5.1525,3.432
"510","Ratufa",3,1496.66666666667,1.57666666666667,77,2.25,NA,29.725,240,2.04333333333333,1.75
"511","Redunca",3,39616.6666666667,7.46333333333333,3550,NA,NA,66.48,180,1,1.09
"512","Reithrodon",1,72.17,NA,NA,NA,NA,2,NA,4.53,NA
"513","Reithrodontomys",5,10.776,0.75,1.135,0.6075,4.325,3.14333333333333,27,3.462,1.5
"514","Rhabdomys",1,51,0.83,2.67,0.49,8.45,1.78,35,6.56,4
"515","Rhinoceros",2,1676166.665,16.47,58204.55,16.5,885812.33,57.425,408,1,0.31
"516","Rhinosciurus",1,221,NA,NA,NA,NA,NA,NA,1.43,NA
"517","Rhipidomys",2,66.25,NA,NA,NA,NA,NA,NA,2.9,3.5
"518","Rhizomys",2,2725,NA,NA,3.5,NA,NA,NA,NA,NA
"519","Rhombomys",1,143,0.92,4.75,0.73,NA,3.5,48,5.76,2.5
"520","Rhynchocyon",1,540,1.4,80,0.49,180,1.25,60,1,4.5
"521","Romerolagus",1,494.5,1.27,30.62,0.86,102.6,6.33,NA,2.18,NA
"522","Rupicapra",1,26100,5.83,2652.86,3.7,NA,30.55,NA,1,0.94
